Sector;;;1995;Part (%);1996;Part (%);1997;Part (%);1998;Part (%);1999;Part (%);2000;Part (%);2001;Part (%);2002;Part (%);2003;Part (%);2004;Part (%);2005;Part (%);2006;Part (%);2007;Part (%);2008;Part (%);2009;Part (%);2010;Part (%);2011;Part (%);2012;Part (%);2013;Part (%);2014;Part (%);2015;Part (%);2016;Part (%);2017;Part (%);2018;Part (%);2019;Part (%);2020;Part (%);2021;Part (%);2022;Part (%);2023*;Part (%);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería";;; 16 ;0.2; 25 ;0.2; 15 ;0.1; 27 ;0.2; 28 ;0.2; 34 ;0.3; 35 ;0.3; 36 ;0.3; 27 ;0.2; 32 ;0.2; 35 ;0.2; 45 ;0.2; 72 ;0.2; 74 ;0.2; 42 ;0.1; 28 ;0.1; 29 ;0.1; 42 ;0.1; 38 ;0.1; 29 ;0.1; 30 ;0.1; 27 ;0.1; 36 ;0.1;31;0.1; 25 ;0.1;22;0.1; 30 ;0.1; 33 ;0.1; 20 ;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de papel, cartón y productos de papel y cartón;;; 138 ;1.3; 120 ;1.1; 147 ;1.3; 157 ;1.4; 157 ;1.3; 191 ;1.5; 251 ;2.0; 248 ;2.1; 267 ;2.0; 315 ;1.9; 362 ;1.7; 433 ;1.8; 551 ;1.8; 626 ;1.7; 577 ;1.8; 525 ;1.3; 584 ;1.0; 596 ;1.0; 558 ;0.9; 514 ;0.9; 422 ;1.2; 322 ;1.0; 357 ;0.9;370;0.9; 377 ;1.0;335;1.1; 352 ;0.9; 484 ;0.9; 321 ;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Actividades de impresión y de producción de copias a partir de grabaciones originales ;;; 1 ;0.0; 1 ;0.0; 1 ;0.0; 1 ;0.0; 3 ;0.0; 4 ;0.0; 5 ;0.0; 4 ;0.0; 6 ;0.0; 7 ;0.0; 8 ;0.0; 10 ;0.0; 11 ;0.0; 9 ;0.0; 12 ;0.0; 10 ;0.0; 12 ;0.0; 12 ;0.0; 15 ;0.0; 13 ;0.0; 10 ;0.0; 9 ;0.0; 4 ;0.0;3;0.0; 3 ;0.0;2;0.0; 2 ;0.0; 3 ;0.0; 2 ;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Coquización, fabricación de productos de la refinación del petróleo y actividad de mezcla de combustibles ;;; 296 ;2.9; 464 ;4.4; 377 ;3.3; 247 ;2.3; 429 ;3.7; 778 ;5.9; 707 ;5.7; 713 ;6.0; 936 ;7.1; 1,322 ;7.9; 1,640 ;7.8; 1,899 ;7.7; 1,962 ;6.5; 3,179 ;8.6; 2,101 ;6.4; 3,405 ;8.6; 5,152 ;9.1; 5,230 ;8.7; 4,858 ;8.3; 3,262 ;5.9; 1,591 ;4.4; 2,284 ;7.2; 2,675 ;7.0;3,898;9.3; 3,734 ;9.5;2,215;7.1; 3,573 ;8.6; 4,669 ;8.2; 2,867 ;8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de sustancias y productos químicos;;; 719 ;7.1; 775 ;7.3; 881 ;7.6; 875 ;8.1; 1,030 ;8.9; 1,054 ;8.0; 1,002 ;8.1; 979 ;8.2; 858 ;6.5; 1,134 ;6.8; 1,325 ;6.3; 1,510 ;6.2; 1,865 ;6.2; 2,228 ;6.1; 2,051 ;6.2; 2,239 ;5.6; 2,628 ;4.6; 2,673 ;4.4; 2,907 ;4.9; 2,856 ;5.2; 2,617 ;7.3; 2,335 ;7.3; 2,459 ;6.5;2,580;6.2; 2,524 ;6.4;2,282;7.3; 3,087 ;7.5; 3,392 ;6.0; 1,966 ;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;;; 100 ;1.0; 132 ;1.2; 182 ;1.6; 203 ;1.9; 188 ;1.6; 217 ;1.6; 262 ;2.1; 248 ;2.1; 230 ;1.7; 233 ;1.4; 267 ;1.3; 297 ;1.2; 311 ;1.0; 376 ;1.0; 417 ;1.3; 362 ;0.9; 412 ;0.7; 466 ;0.8; 504 ;0.9; 533 ;1.0; 511 ;1.4; 433 ;1.4; 358 ;0.9;358;0.9; 368 ;0.9;369;1.2; 399 ;1.0; 418 ;0.7; 291 ;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de productos de caucho y de plástico;;; 155 ;1.5; 162 ;1.5; 190 ;1.6; 179 ;1.6; 179 ;1.5; 227 ;1.7; 263 ;2.1; 286 ;2.4; 305 ;2.3; 390 ;2.3; 477 ;2.3; 574 ;2.3; 699 ;2.3; 771 ;2.1; 623 ;1.9; 641 ;1.6; 756 ;1.3; 739 ;1.2; 703 ;1.2; 679 ;1.2; 630 ;1.7; 549 ;1.7; 551 ;1.4;649;1.5; 627 ;1.6;565;1.8; 708 ;1.7; 829 ;1.5; 510 ;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de otros productos minerales no metálicos;;; 138 ;1.4; 152 ;1.4; 171 ;1.5; 191 ;1.8; 206 ;1.8; 226 ;1.7; 255 ;2.1; 292 ;2.4; 302 ;2.3; 358 ;2.1; 425 ;2.0; 526 ;2.1; 610 ;2.0; 578 ;1.6; 474 ;1.4; 417 ;1.0; 471 ;0.8; 514 ;0.9; 429 ;0.7; 448 ;0.8; 339 ;0.9; 328 ;1.0; 324 ;0.9;339;0.8; 288 ;0.7;257;0.8; 319 ;0.8; 339 ;0.6; 242 ;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de productos metalúrgicos básicos;;; 434 ;4.3; 450 ;4.2; 336 ;2.9; 250 ;2.3; 306 ;2.6; 397 ;3.0; 448 ;3.6; 572 ;4.8; 1,230 ;9.4; 1,560 ;9.3; 1,885 ;8.9; 2,731 ;11.1; 3,344 ;11.0; 2,645 ;7.2; 2,798 ;8.5; 3,853 ;9.7; 4,404 ;7.7; 5,100 ;8.5; 3,684 ;6.3; 2,819 ;5.1; 1,981 ;5.5; 2,261 ;7.1; 2,632 ;6.9;2,554;6.1; 2,745 ;6.9;3,684;11.9; 4,257 ;10.3; 4,613 ;8.1; 3,157 ;9.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricación de productos elaborados de metal, excepto maquinaria y equipo;;; 105 ;1.0; 103 ;1.0; 108 ;0.9; 114 ;1.0; 108 ;0.9; 134 ;1.0; 158 ;1.3; 159 ;1.3; 137 ;1.0; 192 ;1.1; 219 ;1.0; 274 ;1.1; 354 ;1.2; 473 ;1.3; 353 ;1.1; 267 ;0.7; 290 ;0.5; 325 ;0.5; 320 ;0.5; 339 ;0.6; 325 ;0.9; 341 ;1.1; 317 ;0.8;390;0.9; 484 ;1.2;415;1.3; 592 ;1.4; 838 ;1.5; 682 ;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
