1980;20
1981;19.1
1982;18.2
1983;26
1984;28
1985;26
1986;24
1987;22
1988;20
1989;35
1990;28.75
1991;22.25
1992;15.75
1993;10
1994;10
1995;10
1996;10
1997;10
1998;10
1999;10
2000;10
2001;10
2002;10
2003;10
2004;10
2005;10
2006;10
2007;10
2008;10
2009;10
